Name,Region,Difficulty,Distance,HikeTime,Season
Abby Grind,Fraser Valley East,Intermediate,4,1.5,year-round
Admiralty Point,Tri Cities,Easy,5,1.5,year-round
Al's Habrich Ridge Trail,Howe Sound,Intermediate,7,5,July - October
Aldergrove Regional Park,Surrey and Langley,Easy,5,2,year-round
Alice Lake,Howe Sound,Easy,6,2,April - November
Ancient Cedars Trail,Whistler,Intermediate,5,2,June - October
Ascent Trail,Whistler,Difficult,6.1,3.5,July - September
Baden Powell Deep Cove to Lynn Canyon,The North Shore,Intermediate,12,5,year-round
Baden Powell Lynn Canyon to Grouse,The North Shore,Intermediate,10,5,year-round
BCMC Trail,The North Shore,Difficult,3,1.5,June - September
Bert Flinn Park,Tri Cities,Easy,2.6,1,year-round
Big Cedar and Kennedy Falls Trail,The North Shore,Intermediate,10,5,year-round
Black Tusk,Whistler,Difficult,29,11,July - October
Blackcomb Meadows,Whistler,Intermediate,8,3,July - October
Bosumarne Falls,Fraser Valley East,Easy,2.5,1,April - November
Boundary Bay Regional Park,Tsawwassen and Delta,Easy,5,2,year-round
Bowen Lookout,The North Shore,Easy,4,1.5,July - October
Brae Island Regional Park,Surrey and Langley,Easy,4.2,1,year-round
Brandywine Falls,Whistler,Easy,1,0.5,year-round
Brandywine Meadows,Whistler,Difficult,6,3.5,July - October
Bridal Veil Falls,Fraser Valley East,Easy,0.8,0.25,May - October
Brohm Lake,Howe Sound,Intermediate,7.5,5,April - October
Brothers Creek Loop,The North Shore,Intermediate,7,4,April - November
Brunswick Point,Tsawwassen and Delta,Easy,8,2,year-round
Buntzen Lake,Tri Cities,Easy,10,3.5,year-round
Burnaby Lake,Vancouver City,Easy,10,2,year-round
Burnaby Mountain,Vancouver City,Easy,7.5,3,year-round
Burnett Falls,Sunshine Coast,Easy,0.5,0.5,year-round
Burns Bog Delta Nature Reserve,Tsawwassen and Delta,Easy,3,1.5,year-round
Campbell Valley Regional Park,Surrey and Langley,Easy,4,1.5,year-round
Capilano Canyon,The North Shore,Easy,2.6,1,year-round
Capilano Pacific Trail,The North Shore,Easy,15,4,year-round
Cascade Falls,Fraser Valley East,Easy,0.75,0.5,April - November
Chapman Falls,Sunshine Coast,Easy,4,1.5,year-round
Cheakamus Lake,Whistler,Easy,16,5,May - November
Cheam Lake Wetlands,Fraser Valley East,Easy,2.3,1,year-round
Chilliwack Community Forest,Fraser Valley East,Easy,3,1.5,February - November
Cliff Gilker Park,Sunshine Coast,Easy,2,1,year-round
Colony Farm Regional Park,Vancouver City,Easy,8,1.5,year-round
Conflict Lake,Whistler,Intermediate,12,5,June - September
Coquitlam Crunch,Tri Cities,Intermediate,4.5,1.5,year-round
Crater Rim Trail,Whistler,Intermediate,4.5,2,May - October
Crooked Falls,Howe Sound,Intermediate,6,3,April - November
Crown Mountain,The North Shore,Difficult,9.8,7,July - October
Crystal Falls,Tri Cities,Easy,7,2,year-round
Cypress Falls,The North Shore,Easy,3,1.5,year-round
Dam Mountain,The North Shore,Easy,5,2,July - September
Deas Island Regional Park,Tsawwassen and Delta,Easy,4.5,2,year-round
Deer Lake,Vancouver City,Easy,5,1,year-round
Demon Ridge,Howe Sound,Difficult,16,8,July - September
Derby Reach Regional Park,Surrey and Langley,Easy,8,2.5,year-round
Dilly Dally Loop,Tri Cities,Difficult,25,12,July - October
Dog Mountain,The North Shore,Easy,5,2,June - October
Dorman Point,Howe Sound,Easy,2.5,1,year-round
Downes Bowl Trail,Fraser Valley East,Easy,3,1,year-round
Eagle Bluffs,The North Shore,Intermediate,8,4,July - October
Elfin Lakes,Howe Sound,Intermediate,22,6,July - October
Elk Mountain,Fraser Valley East,Intermediate,7,4,June - October
Fisherman's Trail,The North Shore,Easy,12,5,year-round
Flood Falls,Fraser Valley East,Easy,1,0.75,year-round
Foreshore Trail,Vancouver City,Easy,5,3,year-round
Francis Point Provincial Park,Sunshine Coast,Easy,3,1.5,year-round
Frosty Mountain,Manning Provincial Park,Difficult,22,8,July - September
Garibaldi Lake,Whistler,Intermediate,18,5,July - October
Goat Mountain,The North Shore,Intermediate,8,4,July - October
Gold Creek Falls,Ridge Meadows,Easy,5.5,2,year-round
Golden Ears,Ridge Meadows,Difficult,24,12,July - September
Golden Ears Canyon Loop,Ridge Meadows,Intermediate,12,4,April - October
Goldie Lake,The North Shore,Easy,3,2,June - October
Grouse Grind,The North Shore,Difficult,2.9,1.5,June - September
Hanes Valley Trail,The North Shore,Difficult,16,8.5,July - September
Harrison Grind,Fraser Valley East,Difficult,7,6,March - November
Hayward Lake,Fraser Valley East,Easy,17,5.5,year-round
Helm Lake,Whistler,Difficult,26,9,July - October
Hicks Lake,Fraser Valley East,Easy,6,2,year-round
Hidden Grove,Sunshine Coast,Easy,3.5,1.5,year-round
High Falls Creek,Howe Sound,Intermediate,12,5,May - October
High Note Trail,Whistler,Intermediate,9.5,4,July - October
Hollyburn Mountain,The North Shore,Intermediate,7,3.5,July - October
